id,domain,question,option_A,option_B,option_C,option_D,answer,explanation
IH-001,Indian History,Who was the founder of the Maurya Empire?,Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-002,Indian History,Who was Ashoka?,Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-003,Indian History,Battle of Plassey took place in?,1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-004,Indian History,Who founded Mughal Empire?,Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-005,Indian History,Who built Taj Mahal?,Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-006,Indian History,Who was first Governor-General of India?,Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-007,Indian History,Who led 1857 revolt?,Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-008,Indian History,Indian National Congress founded in?,1885,1905,1857,1920,A,INC was founded in 1885.
IH-009,Indian History,Who gave slogan 'Do or Die'?,Nehru,Gandhi,Subhas Bose,Tilak,B,Gandhi gave during Quit India Movement.
IH-010,Indian History,Quit India Movement year?,1942,1930,1919,1947,A,Started in 1942.
IH-011,Indian History,Who was the founder of the Maurya Empire? (Set 11),Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-012,Indian History,Who was Ashoka? (Set 12),Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-013,Indian History,Battle of Plassey took place in? (Set 13),1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-014,Indian History,Who founded Mughal Empire? (Set 14),Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-015,Indian History,Who built Taj Mahal? (Set 15),Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-016,Indian History,Who was first Governor-General of India? (Set 16),Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-017,Indian History,Who led 1857 revolt? (Set 17),Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-018,Indian History,Indian National Congress founded in? (Set 18),1885,1905,1857,1920,A,INC was founded in 1885.
IH-019,Indian History,Who gave slogan 'Do or Die'? (Set 19),Nehru,Gandhi,Subhas Bose,Tilak,B,Gandhi gave during Quit India Movement.
IH-020,Indian History,Quit India Movement year? (Set 20),1942,1930,1919,1947,A,Started in 1942.
IH-021,Indian History,Who was the founder of the Maurya Empire? (Set 21),Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-022,Indian History,Who was Ashoka? (Set 22),Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-023,Indian History,Battle of Plassey took place in? (Set 23),1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-024,Indian History,Who founded Mughal Empire? (Set 24),Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-025,Indian History,Who built Taj Mahal? (Set 25),Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-026,Indian History,Who was first Governor-General of India? (Set 26),Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-027,Indian History,Who led 1857 revolt? (Set 27),Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-028,Indian History,Indian National Congress founded in? (Set 28),1885,1905,1857,1920,A,INC was founded in 1885.
IH-029,Indian History,Who gave slogan 'Do or Die'? (Set 29),Nehru,Gandhi,Subhas Bose,Tilak,B,Gandhi gave during Quit India Movement.
IH-030,Indian History,Quit India Movement year? (Set 30),1942,1930,1919,1947,A,Started in 1942.
IH-031,Indian History,Who was the founder of the Maurya Empire? (Set 31),Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-032,Indian History,Who was Ashoka? (Set 32),Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-033,Indian History,Battle of Plassey took place in? (Set 33),1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-034,Indian History,Who founded Mughal Empire? (Set 34),Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-035,Indian History,Who built Taj Mahal? (Set 35),Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-036,Indian History,Who was first Governor-General of India? (Set 36),Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-037,Indian History,Who led 1857 revolt? (Set 37),Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-038,Indian History,Indian National Congress founded in? (Set 38),1885,1905,1857,1920,A,INC was founded in 1885.
IH-039,Indian History,Who gave slogan 'Do or Die'? (Set 39),Nehru,Gandhi,Subhas Bose,Tilak,B,Gandhi gave during Quit India Movement.
IH-040,Indian History,Quit India Movement year? (Set 40),1942,1930,1919,1947,A,Started in 1942.
IH-041,Indian History,Who was the founder of the Maurya Empire? (Set 41),Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-042,Indian History,Who was Ashoka? (Set 42),Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-043,Indian History,Battle of Plassey took place in? (Set 43),1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-044,Indian History,Who founded Mughal Empire? (Set 44),Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-045,Indian History,Who built Taj Mahal? (Set 45),Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-046,Indian History,Who was first Governor-General of India? (Set 46),Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-047,Indian History,Who led 1857 revolt? (Set 47),Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-048,Indian History,Indian National Congress founded in? (Set 48),1885,1905,1857,1920,A,INC was founded in 1885.
IH-049,Indian History,Who gave slogan 'Do or Die'? (Set 49),Nehru,Gandhi,Subhas Bose,Tilak,B,Gandhi gave during Quit India Movement.
IH-050,Indian History,Quit India Movement year? (Set 50),1942,1930,1919,1947,A,Started in 1942.
IH-051,Indian History,Who was the founder of the Maurya Empire? (Set 51),Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-052,Indian History,Who was Ashoka? (Set 52),Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-053,Indian History,Battle of Plassey took place in? (Set 53),1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-054,Indian History,Who founded Mughal Empire? (Set 54),Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-055,Indian History,Who built Taj Mahal? (Set 55),Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-056,Indian History,Who was first Governor-General of India? (Set 56),Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-057,Indian History,Who led 1857 revolt? (Set 57),Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-058,Indian History,Indian National Congress founded in? (Set 58),1885,1905,1857,1920,A,INC was founded in 1885.
IH-059,Indian History,Who gave slogan 'Do or Die'? (Set 59),Nehru,Gandhi,Subhas Bose,Tilak,B,Gandhi gave during Quit India Movement.
IH-060,Indian History,Quit India Movement year? (Set 60),1942,1930,1919,1947,A,Started in 1942.
IH-061,Indian History,Who was the founder of the Maurya Empire? (Set 61),Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-062,Indian History,Who was Ashoka? (Set 62),Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-063,Indian History,Battle of Plassey took place in? (Set 63),1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-064,Indian History,Who founded Mughal Empire? (Set 64),Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-065,Indian History,Who built Taj Mahal? (Set 65),Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-066,Indian History,Who was first Governor-General of India? (Set 66),Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-067,Indian History,Who led 1857 revolt? (Set 67),Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-068,Indian History,Indian National Congress founded in? (Set 68),1885,1905,1857,1920,A,INC was founded in 1885.
IH-069,Indian History,Who gave slogan 'Do or Die'? (Set 69),Nehru,Gandhi,Subhas Bose,Tilak,B,Gandhi gave during Quit India Movement.
IH-070,Indian History,Quit India Movement year? (Set 70),1942,1930,1919,1947,A,Started in 1942.
IH-071,Indian History,Who was the founder of the Maurya Empire? (Set 71),Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-072,Indian History,Who was Ashoka? (Set 72),Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-073,Indian History,Battle of Plassey took place in? (Set 73),1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-074,Indian History,Who founded Mughal Empire? (Set 74),Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-075,Indian History,Who built Taj Mahal? (Set 75),Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-076,Indian History,Who was first Governor-General of India? (Set 76),Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-077,Indian History,Who led 1857 revolt? (Set 77),Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-078,Indian History,Indian National Congress founded in? (Set 78),1885,1905,1857,1920,A,INC was founded in 1885.
IH-079,Indian History,Who gave slogan 'Do or Die'? (Set 79),Nehru,Gandhi,Subhas Bose,Tilak,B,Gandhi gave during Quit India Movement.
IH-080,Indian History,Quit India Movement year? (Set 80),1942,1930,1919,1947,A,Started in 1942.
IH-081,Indian History,Who was the founder of the Maurya Empire? (Set 81),Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-082,Indian History,Who was Ashoka? (Set 82),Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-083,Indian History,Battle of Plassey took place in? (Set 83),1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-084,Indian History,Who founded Mughal Empire? (Set 84),Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-085,Indian History,Who built Taj Mahal? (Set 85),Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-086,Indian History,Who was first Governor-General of India? (Set 86),Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-087,Indian History,Who led 1857 revolt? (Set 87),Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-088,Indian History,Indian National Congress founded in? (Set 88),1885,1905,1857,1920,A,INC was founded in 1885.
IH-089,Indian History,Who gave slogan 'Do or Die'? (Set 89),Nehru,Gandhi,Subhas Bose,Tilak,B,Gandhi gave during Quit India Movement.
IH-090,Indian History,Quit India Movement year? (Set 90),1942,1930,1919,1947,A,Started in 1942.
IH-091,Indian History,Who was the founder of the Maurya Empire? (Set 91),Ashoka,Chandragupta Maurya,Bindusara,Harsha,B,Chandragupta Maurya founded the Maurya Empire in 321 BCE.
IH-092,Indian History,Who was Ashoka? (Set 92),Gupta ruler,Mauryan emperor,Mughal ruler,Sultan,B,Ashoka was a Mauryan emperor known for spreading Buddhism.
IH-093,Indian History,Battle of Plassey took place in? (Set 93),1757,1857,1764,1800,A,Battle of Plassey in 1757 marked British dominance in India.
IH-094,Indian History,Who founded Mughal Empire? (Set 94),Akbar,Babur,Humayun,Shah Jahan,B,Babur founded Mughal Empire in 1526.
IH-095,Indian History,Who built Taj Mahal? (Set 95),Akbar,Babur,Shah Jahan,Aurangzeb,C,Shah Jahan built Taj Mahal in memory of Mumtaz.
IH-096,Indian History,Who was first Governor-General of India? (Set 96),Dalhousie,Warren Hastings,Cornwallis,Curzon,B,Warren Hastings was first Governor-General.
IH-097,Indian History,Who led 1857 revolt? (Set 97),Gandhi,Nehru,Rani Lakshmi Bai,Patel,C,Rani Lakshmi Bai was key leader of revolt.
IH-098,Indian History,Indian National Congress founded in? (Set 98),1885,1905,1857,1920,A,INC was founded in 1885.
