id,domain,question,option_A,option_B,option_C,option_D,answer,explanation
GSU-001,General Science,What is the SI unit of force?,Newton,Joule,Watt,Pascal,A,Force is measured in Newton (N).
GSU-002,General Science,What is the chemical formula of water?,H2O,CO2,O2,NaCl,A,Water consists of two hydrogen and one oxygen atom.
GSU-003,General Science,Which organ pumps blood in the human body?,Liver,Brain,Heart,Lungs,C,The heart circulates blood throughout the body.
GSU-004,General Science,Which gas do plants absorb for photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Plants use CO2 to make food.
GSU-005,General Science,What is the boiling point of water?,50°C,100°C,0°C,212°C,B,Water boils at 100°C at standard pressure.
GSU-006,General Science,Which vitamin is produced by sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D,Sunlight helps synthesize Vitamin D.
GSU-007,General Science,What is the speed of light?,3×10^8 m/s,300 m/s,1500 m/s,1×10^6 m/s,A,Light travels at ~3×10^8 m/s in vacuum.
GSU-008,General Science,Which part of cell contains DNA?,Nucleus,Cytoplasm,Membrane,Ribosome,A,DNA is stored in the nucleus.
GSU-009,General Science,Which metal is liquid at room temperature?,Iron,Mercury,Copper,Aluminium,B,Mercury is liquid at room temperature.
GSU-010,General Science,Which force keeps planets in orbit?,Magnetic,Friction,Gravity,Electric,C,Gravity keeps planets orbiting stars.
GSU-011,General Science,What is pH scale used for?,Speed,Acidity,Mass,Energy,B,pH measures acidity/alkalinity.
GSU-012,General Science,Which organ helps in breathing?,Heart,Lungs,Kidney,Liver,B,Lungs exchange oxygen and carbon dioxide.
GSU-013,General Science,What is the largest organ in the human body?,Brain,Skin,Liver,Heart,B,Skin is the largest organ.
GSU-014,General Science,Which particle has negative charge?,Proton,Neutron,Electron,Photon,C,Electrons carry negative charge.
GSU-015,General Science,Which planet has the most gravity?,Earth,Mars,Jupiter,Venus,C,Jupiter has the strongest gravity among planets.
GSU-016,General Science,What is evaporation?,Liquid to gas,Gas to liquid,Solid to liquid,Liquid to solid,A,Evaporation is liquid turning into vapor.
GSU-017,General Science,Which vitamin prevents scurvy?,A,B,C,D,C,Vitamin C prevents scurvy.
GSU-018,General Science,Which blood cells fight infection?,RBC,WBC,Platelets,Plasma,B,White blood cells defend the body.
GSU-019,General Science,What is the main gas in air?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,B,Nitrogen forms ~78% of air.
GSU-020,General Science,What is energy?,Ability to do work,Mass,Speed,Force,A,Energy is the capacity to do work.
GSU-021,General Science,Which organ filters blood?,Heart,Kidney,Lungs,Liver,B,Kidneys filter waste from blood.
GSU-022,General Science,What is density?,Mass/volume,Force,Energy,Speed,A,Density = mass divided by volume.
GSU-023,General Science,Which acid is in stomach?,HCl,H2SO4,HNO3,CH3COOH,A,Hydrochloric acid aids digestion.
