id,domain,question,option_A,option_B,option_C,option_D,answer,explanation
SCU-001,Space & Cosmology,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A,Mercury is the closest planet to the Sun.
SCU-002,Space & Cosmology,Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,B,Mars appears red due to iron oxide.
SCU-003,Space & Cosmology,What is the Sun?,Planet,Star,Galaxy,Asteroid,B,The Sun is a star at the center of our solar system.
SCU-004,Space & Cosmology,Who was the first human in space?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,John Glenn,B,Yuri Gagarin became first human in space in 1961.
SCU-005,Space & Cosmology,Which galaxy do we live in?,Andromeda,Milky Way,Sombrero,Whirlpool,B,Earth is part of the Milky Way galaxy.
SCU-006,Space & Cosmology,What is a black hole?,Bright star,Dense object with strong gravity,Planet,Comet,B,Black holes have gravity so strong that not even light escapes.
SCU-007,Space & Cosmology,What is a comet?,Rocky planet,Ice body orbiting Sun,Star,Galaxy,B,Comets are icy objects that orbit the Sun.
SCU-008,Space & Cosmology,Which planet has rings?,Earth,Mars,Saturn,Mercury,C,Saturn is famous for its rings.
SCU-009,Space & Cosmology,What is a light-year?,Time,Distance,Speed,Mass,B,Light-year measures distance traveled by light in a year.
SCU-010,Space & Cosmology,What is ISRO?,US space agency,India’s space agency,Russian agency,European agency,B,ISRO is Indian Space Research Organisation.
SCU-011,Space & Cosmology,What is an important concept in space science related to object 10?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-012,Space & Cosmology,What is an important concept in space science related to object 11?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-013,Space & Cosmology,What is an important concept in space science related to object 12?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-014,Space & Cosmology,What is an important concept in space science related to object 13?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-015,Space & Cosmology,What is an important concept in space science related to object 14?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-016,Space & Cosmology,What is an important concept in space science related to object 15?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-017,Space & Cosmology,What is an important concept in space science related to object 16?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-018,Space & Cosmology,What is an important concept in space science related to object 17?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-019,Space & Cosmology,What is an important concept in space science related to object 18?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-020,Space & Cosmology,What is an important concept in space science related to object 19?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-021,Space & Cosmology,What is an important concept in space science related to object 20?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-022,Space & Cosmology,What is an important concept in space science related to object 21?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
SCU-023,Space & Cosmology,What is an important concept in space science related to object 22?,Gravity,Orbit,Energy,Mass,A,Gravity is fundamental in space science as it governs motion of celestial bodies.
